   0.0000000e+00   8.1219522e-01
   1.0000000e+00   7.1920281e-01
   2.0000000e+00   5.2066686e-01
   3.0000000e+00   3.4822707e-01
   4.0000000e+00   2.4698363e-01
   5.0000000e+00   1.8713037e-01
   6.0000000e+00   1.4070044e-01
   7.0000000e+00   1.0200948e-01
   8.0000000e+00   7.2793502e-02
   9.0000000e+00   5.4076885e-02
   1.0000000e+01   4.3764058e-02
   1.1000000e+01   3.7905724e-02
   1.2000000e+01   3.3999553e-02
   1.3000000e+01   3.1440920e-02
   1.4000000e+01   2.9831049e-02
   1.5000000e+01   2.8348161e-02
   1.6000000e+01   2.6220440e-02
   1.7000000e+01   2.2972312e-02
   1.8000000e+01   1.9303081e-02
