   0.0000000e+00   1.0290557e+00
   1.0000000e+00   9.2705100e-01
   2.0000000e+00   6.7459012e-01
   3.0000000e+00   3.9068440e-01
   4.0000000e+00   1.7381275e-01
   5.0000000e+00   5.4848039e-02
   6.0000000e+00   9.6758768e-03
   7.0000000e+00   6.1299031e-04
   8.0000000e+00   4.6929033e-03
   9.0000000e+00   1.2308617e-02
   1.0000000e+01   1.7045223e-02
   1.1000000e+01   1.5390026e-02
   1.2000000e+01   8.4793948e-03
   1.3000000e+01   3.9254209e-04
   1.4000000e+01  -4.3287493e-03
   1.5000000e+01  -4.2794463e-03
   1.6000000e+01  -1.4032655e-03
   1.7000000e+01   2.2251966e-03
   1.8000000e+01   5.2545088e-03
