      0     0.10935E-01     0.39601E-01    0.27613E+00
      1     0.11322E-01     0.41524E-01    0.27265E+00
      2     0.11191E-01     0.43010E-01    0.26020E+00
      3     0.97349E-02     0.41207E-01    0.23624E+00
      4     0.89915E-02     0.38654E-01    0.23262E+00
      5     0.86057E-02     0.52138E-01    0.16506E+00
      6     0.86033E-02     0.52919E-01    0.16258E+00
      7     0.83060E-02     0.52350E-01    0.15866E+00
      8     0.87147E-02     0.55826E-01    0.15611E+00
      9     0.82092E-03     0.13320E-01    0.61633E-01
     10     0.75235E-03     0.13118E-01    0.57354E-01
     11     0.70992E-03     0.12464E-01    0.56960E-01
     12     0.73720E-03     0.13403E-01    0.55002E-01
     13     0.71519E-03     0.13284E-01    0.53839E-01
     14     0.72651E-03     0.13749E-01    0.52840E-01
     15     0.66417E-03     0.13414E-01    0.49515E-01
     16     0.63477E-03     0.12885E-01    0.49266E-01
     17     0.63152E-03     0.13237E-01    0.47709E-01
     18     0.21276E-02     0.93980E-01    0.22639E-01
     19     0.21616E-02     0.98274E-01    0.21996E-01
